fips,county_name,state_code,year,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
,,CA,2017,872,884,1175,1672,2070
,,CA,2017,663,679,886,1290,1561
0600199999,,CA,2017,1435,1723,2173,3017,3477
0600399999,,CA,2017,586,637,846,1209,1374
0600599999,,CA,2017,701,761,1012,1468,1630
0600799999,,CA,2017,656,729,923,1344,1614
0600999999,,CA,2017,600,665,867,1262,1528
0601199999,,CA,2017,522,712,822,1197,1356
0601399999,,CA,2017,1435,1723,2173,3017,3477
0601599999,,CA,2017,735,739,890,1291,1566
0601799999,,CA,2017,720,821,1036,1508,1825
0601999999,,CA,2017,670,709,887,1258,1470
0602199999,,CA,2017,537,583,775,1049,1068
0602399999,,CA,2017,689,775,1026,1481,1723
0602599999,,CA,2017,522,626,822,1123,1434
0602799999,,CA,2017,704,708,878,1278,1338
0602999999,,CA,2017,623,650,844,1222,1470
0603199999,,CA,2017,619,623,803,1133,1296
0603399999,,CA,2017,608,702,915,1332,1388
0603599999,,CA,2017,635,690,917,1273,1616
0603799999,,CA,2017,988,1195,1545,2079,2303
0603999999,,CA,2017,667,672,893,1278,1469
0604199999,,CA,2017,1915,2411,3018,3927,4829
0604399999,,CA,2017,598,728,864,1143,1411
0604599999,,CA,2017,706,776,1031,1460,1590
0604799999,,CA,2017,522,602,776,1125,1355
0604999999,,CA,2017,472,575,681,991,1192
0605199999,,CA,2017,783,895,1190,1489,1933
0605399999,,CA,2017,950,1133,1417,2063,2206
0605599999,,CA,2017,1014,1228,1598,2326,2593
0605799999,,CA,2017,830,985,1309,1906,2306
0605999999,,CA,2017,1257,1436,1813,2531,2760
0606199999,,CA,2017,720,821,1036,1508,1825
0606399999,,CA,2017,575,720,831,1099,1278
0606599999,,CA,2017,800,957,1197,1682,2072
0606799999,,CA,2017,720,821,1036,1508,1825
0606999999,,CA,2017,1019,1133,1490,2169,2625
0607199999,,CA,2017,800,957,1197,1682,2072
0607399999,,CA,2017,1212,1342,1741,2507,3068
0607599999,,CA,2017,1915,2411,3018,3927,4829
0607799999,,CA,2017,617,733,967,1408,1704
0607999999,,CA,2017,887,1011,1309,1906,2289
0608199999,,CA,2017,1915,2411,3018,3927,4829
0608399999,,CA,2017,1131,1323,1555,2128,2483
0608599999,,CA,2017,1507,1773,2220,3078,3545
0608799999,,CA,2017,1160,1375,1828,2425,2723
0608999999,,CA,2017,657,688,892,1298,1572
0609199999,,CA,2017,797,866,1151,1440,1869
0609399999,,CA,2017,516,612,814,1136,1328
0609599999,,CA,2017,830,1035,1294,1884,2280
0609799999,,CA,2017,1047,1213,1572,2288,2770
0609999999,,CA,2017,652,726,938,1340,1620
0610199999,,CA,2017,663,679,886,1290,1561
0610399999,,CA,2017,570,619,823,1130,1134
0610599999,,CA,2017,608,612,813,1177,1433
0610799999,,CA,2017,663,668,873,1265,1452
0610999999,,CA,2017,615,729,969,1302,1477
0611199999,,CA,2017,1118,1326,1762,2510,2999
0611399999,,CA,2017,872,884,1175,1672,2070
0611599999,,CA,2017,663,679,886,1290,1561
,,CO,2017,905,1021,1240,1763,2065
,,CO,2017,603,737,950,1383,1674
,,CO,2017,844,1031,1305,1896,2196
,,CO,2017,719,817,996,1450,1755
,,CO,2017,588,601,799,1163,1408
,,CO,2017,599,693,897,1306,1581
,,CO,2017,599,603,802,1149,1305
,,CO,2017,697,779,1003,1425,1767
0800199999,,CO,2017,844,1031,1305,1896,2196
0800399999,,CO,2017,568,572,715,1041,1096
0800599999,,CO,2017,844,1031,1305,1896,2196
0800799999,,CO,2017,619,623,808,1104,1201
0800999999,,CO,2017,563,590,681,991,1044
0801199999,,CO,2017,513,516,686,858,946
0801399999,,CO,2017,905,1021,1240,1763,2065
0801499999,,CO,2017,844,1031,1305,1896,2196
0801599999,,CO,2017,571,575,764,1112,1143
0801799999,,CO,2017,509,512,681,852,1020
0801999999,,CO,2017,844,1031,1305,1896,2196
0802199999,,CO,2017,563,590,681,918,939
0802399999,,CO,2017,522,525,681,852,1044
0802599999,,CO,2017,509,512,681,852,1067
0802799999,,CO,2017,522,525,681,991,1200
0802999999,,CO,2017,624,628,835,1144,1316
0803199999,,CO,2017,844,1031,1305,1896,2196
0803399999,,CO,2017,563,590,681,991,1044
0803599999,,CO,2017,844,1031,1305,1896,2196
0803799999,,CO,2017,797,1009,1256,1571,2201
0804199999,,CO,2017,603,737,950,1383,1674
0803999999,,CO,2017,844,1031,1305,1896,2196
0804399999,,CO,2017,554,557,709,1011,1146
0804599999,,CO,2017,762,767,1019,1405,1766
0804799999,,CO,2017,844,1031,1305,1896,2196
0804999999,,CO,2017,598,709,943,1291,1524
0805199999,,CO,2017,508,620,800,1070,1342
0805399999,,CO,2017,578,581,754,1053,1156
0805599999,,CO,2017,522,525,681,976,1044
0805799999,,CO,2017,565,568,737,922,1130
0805999999,,CO,2017,844,1031,1305,1896,2196
0806199999,,CO,2017,594,598,775,970,1068
0806399999,,CO,2017,522,525,681,852,1158
0806799999,,CO,2017,706,786,967,1408,1607
0806599999,,CO,2017,649,654,869,1087,1332
0806999999,,CO,2017,719,817,996,1450,1755
0807199999,,CO,2017,530,597,793,1085,1244
0807399999,,CO,2017,531,535,681,903,1044
0807599999,,CO,2017,551,555,702,991,1097
0807799999,,CO,2017,588,601,799,1163,1408
0807999999,,CO,2017,522,525,681,928,1044
0808199999,,CO,2017,588,592,727,1051,1138
0808399999,,CO,2017,563,590,681,991,1200
0808599999,,CO,2017,595,599,796,1156,1196
0808799999,,CO,2017,511,515,681,941,1007
0808999999,,CO,2017,528,532,707,884,975
0809199999,,CO,2017,683,830,1076,1524,1650
0809399999,,CO,2017,844,1031,1305,1896,2196
0809599999,,CO,2017,509,512,681,852,1044
0809799999,,CO,2017,1014,1203,1599,2000,2204
0809999999,,CO,2017,544,548,681,891,1009
0810199999,,CO,2017,599,603,802,1149,1305
0810399999,,CO,2017,564,568,736,1038,1042
0810599999,,CO,2017,563,590,681,951,1135
0810799999,,CO,2017,930,935,1135,1614,1740
0810999999,,CO,2017,509,512,681,939,1044
0811199999,,CO,2017,808,813,1054,1472,1616
0811399999,,CO,2017,826,980,1302,1629,1892
0811599999,,CO,2017,509,512,681,901,939
0811799999,,CO,2017,954,961,1277,1598,1958
0811999999,,CO,2017,697,779,1003,1425,1767
0812199999,,CO,2017,563,590,681,968,1044
0812399999,,CO,2017,599,693,897,1306,1581
0812599999,,CO,2017,509,512,681,991,1120
,,CT,2017,834,990,1243,1572,1878
,,CT,2017,809,865,1150,1452,1699
,,CT,2017,888,1103,1377,1723,2161
,,CT,2017,782,971,1212,1516,1707
,,CT,2017,986,1046,1295,1620,1897
,,CT,2017,968,1093,1325,1708,2013
,,CT,2017,748,832,1077,1440,1645
,,CT,2017,886,1029,1367,1990,2051
,,CT,2017,1242,1539,1958,2485,2934
,,CT,2017,631,801,994,1244,1394
,,CT,2017,665,725,939,1175,1294
0901301080,,CT,2017,782,971,1212,1516,1707
0900901220,,CT,2017,986,1046,1295,1620,1897
0901501430,,CT,2017,665,725,939,1175,1294
0900302060,,CT,2017,782,971,1212,1516,1707
0900502760,,CT,2017,695,868,1095,1400,1509
0900903250,,CT,2017,986,1046,1295,1620,1897
0900304300,,CT,2017,782,971,1212,1516,1707
0900904580,,CT,2017,968,1093,1325,1708,2013
0900104720,,CT,2017,888,1103,1377,1723,2161
0900504930,,CT,2017,695,868,1095,1400,1509
0900305910,,CT,2017,782,971,1212,1516,1707
0901306260,,CT,2017,782,971,1212,1516,1707
0901106820,,CT,2017,748,832,1077,1440,1645
0900907310,,CT,2017,968,1093,1325,1708,2013
0900108070,,CT,2017,834,990,1243,1572,1878
0900508210,,CT,2017,695,868,1095,1400,1509
0900308490,,CT,2017,782,971,1212,1516,1707
0900108980,,CT,2017,888,1103,1377,1723,2161
0901509190,,CT,2017,665,725,939,1175,1294
0900310100,,CT,2017,782,971,1212,1516,1707
0900510940,,CT,2017,695,868,1095,1400,1509
0901512130,,CT,2017,665,725,939,1175,1294
0900312270,,CT,2017,782,971,1212,1516,1707
0901513810,,CT,2017,665,725,939,1175,1294
0900914160,,CT,2017,968,1093,1325,1708,2013
0900714300,,CT,2017,782,971,1212,1516,1707
0900715350,,CT,2017,886,1029,1367,1990,2051
0901115910,,CT,2017,809,865,1150,1452,1699
0900516050,,CT,2017,695,868,1095,1400,1509
0901316400,,CT,2017,782,971,1212,1516,1707
0900517240,,CT,2017,695,868,1095,1400,1509
0901317800,,CT,2017,782,971,1212,1516,1707
0900718080,,CT,2017,782,971,1212,1516,1707
0900118500,,CT,2017,888,1103,1377,1723,2161
0900118850,,CT,2017,1242,1539,1958,2485,2934
0900719130,,CT,2017,886,1029,1367,1990,2051
0900919550,,CT,2017,986,1046,1295,1620,1897
0900720810,,CT,2017,782,971,1212,1516,1707
0900322070,,CT,2017,782,971,1212,1516,1707
0900722280,,CT,2017,782,971,1212,1516,1707
0900722490,,CT,2017,782,971,1212,1516,1707
0900322630,,CT,2017,782,971,1212,1516,1707
0900922910,,CT,2017,968,1093,1325,1708,2013
0901123400,,CT,2017,748,832,1077,1440,1645
0900324800,,CT,2017,782,971,1212,1516,1707
0901521860,,CT,2017,665,725,939,1175,1294
0900123890,,CT,2017,834,990,1243,1572,1878
0901325360,,CT,2017,782,971,1212,1516,1707
0900325990,,CT,2017,782,971,1212,1516,1707
0900726270,,CT,2017,886,1029,1367,1990,2051
0900126620,,CT,2017,834,990,1243,1572,1878
0900327600,,CT,2017,782,971,1212,1516,1707
0901129910,,CT,2017,748,832,1077,1440,1645
0900331240,,CT,2017,782,971,1212,1516,1707
0900532290,,CT,2017,695,868,1095,1400,1509
